dt,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1739750400,2025-02-17 00:00:00,4.0,1094.82,0.0,29.13,50.78,11.32,50.41,77.14,9.5
1739754000,2025-02-17 01:00:00,5.0,1922.61,0.01,54.15,28.61,18.84,93.36,127.01,14.19
1739757600,2025-02-17 02:00:00,5.0,2830.51,2.32,82.94,6.79,25.99,139.79,181.7,19.0
1739761200,2025-02-17 03:00:00,5.0,4325.87,34.42,98.71,0.67,34.81,205.83,262.12,30.4
1739764800,2025-02-17 04:00:00,5.0,6248.47,93.88,105.56,5.05,43.87,274.47,351.17,47.12
1739768400,2025-02-17 05:00:00,5.0,7904.05,128.75,138.46,12.34,51.98,338.18,435.39,72.96
1739772000,2025-02-17 06:00:00,5.0,8438.11,97.45,202.89,35.41,60.56,404.14,516.84,87.14
1739775600,2025-02-17 07:00:00,5.0,9506.23,51.86,285.15,107.29,68.66,557.2,687.02,90.18
1739779200,2025-02-17 08:00:00,5.0,10574.34,26.6,329.02,237.46,65.8,818.79,960.5,76.0
1739782800,2025-02-17 09:00:00,5.0,9292.6,12.52,265.96,371.93,50.07,967.96,1096.63,45.6
1739786400,2025-02-17 10:00:00,5.0,5874.63,4.69,142.57,446.32,33.86,776.46,871.77,24.07
1739790000,2025-02-17 11:00:00,5.0,3524.78,2.68,89.11,377.66,26.23,451.77,527.51,18.24
1739793600,2025-02-17 12:00:00,5.0,2349.85,1.96,77.46,254.63,22.17,249.59,319.25,16.21
1739797200,2025-02-17 13:00:00,5.0,1789.09,0.47,72.66,164.51,19.79,151.88,219.25,13.43
1739800800,2025-02-17 14:00:00,5.0,1682.28,0.01,75.4,103.0,17.17,115.28,182.15,14.19
1739804400,2025-02-17 15:00:00,5.0,1535.42,0.0,65.8,80.11,14.66,95.27,160.1,16.21
1739808000,2025-02-17 16:00:00,5.0,1522.06,0.0,58.26,70.1,15.02,92.52,155.62,19.25
1739811600,2025-02-17 17:00:00,5.0,1735.69,0.0,62.38,45.42,15.02,93.08,153.26,22.8
1739815200,2025-02-17 18:00:00,5.0,1895.9,0.18,66.49,23.25,14.9,94.1,152.63,23.56
1739818800,2025-02-17 19:00:00,5.0,1815.8,1.23,64.43,9.57,13.35,83.18,137.49,19.51
1739822400,2025-02-17 20:00:00,4.0,1588.82,1.34,57.58,7.06,10.97,67.37,114.47,13.17
1739826000,2025-02-17 21:00:00,4.0,1401.9,0.36,50.72,12.7,9.89,60.85,103.59,10.26
1739829600,2025-02-17 22:00:00,4.0,1188.28,0.02,38.73,24.32,8.94,54.74,94.45,8.74
1739833200,2025-02-17 23:00:00,3.0,1001.36,0.0,29.47,33.97,8.58,48.54,86.13,8.04
1739836800,2025-02-18 00:00:00,3.0,934.6,0.0,25.7,37.91,9.18,45.86,82.17,7.85
1739840400,2025-02-18 01:00:00,3.0,988.01,0.0,27.42,36.84,10.37,47.61,83.33,8.36
1739844000,2025-02-18 02:00:00,4.0,1201.63,0.04,37.7,28.61,11.92,54.53,90.77,10.64
1739847600,2025-02-18 03:00:00,5.0,1895.9,7.49,59.63,6.88,15.74,78.06,118.53,17.73
1739851200,2025-02-18 04:00:00,5.0,2964.02,43.36,61.01,8.67,20.98,108.32,154.03,26.85
1739854800,2025-02-18 05:00:00,5.0,3204.35,51.86,64.43,17.7,22.89,112.95,160.19,32.93
1739858400,2025-02-18 06:00:00,5.0,2510.07,28.39,63.06,43.99,20.5,93.76,139.15,29.39
1739862000,2025-02-18 07:00:00,3.0,1201.63,8.16,32.9,85.83,14.07,46.19,84.07,14.82
1739865600,2025-02-18 08:00:00,3.0,794.41,4.41,20.73,100.14,10.25,31.17,63.93,9.25
1739869200,2025-02-18 09:00:00,3.0,707.63,3.8,17.99,98.71,8.7,25.98,57.14,7.41
1739872800,2025-02-18 10:00:00,3.0,694.27,4.19,18.34,87.26,7.39,23.9,57.33,6.9
1739876400,2025-02-18 11:00:00,3.0,720.98,4.92,21.08,72.24,6.85,23.16,58.83,7.09
1739880000,2025-02-18 12:00:00,3.0,761.03,5.03,25.02,57.94,6.38,22.01,56.8,7.09
1739883600,2025-02-18 13:00:00,3.0,894.55,3.46,37.7,34.69,6.56,22.2,54.16,7.79
1739887200,2025-02-18 14:00:00,3.0,961.3,0.69,45.93,16.63,6.62,22.87,51.12,8.23
1739890800,2025-02-18 15:00:00,3.0,921.25,0.32,40.44,19.31,6.68,24.56,50.09,8.99
1739894400,2025-02-18 16:00:00,3.0,907.9,0.08,35.3,26.82,7.21,26.88,51.39,9.88
1739898000,2025-02-18 17:00:00,2.0,761.03,0.01,26.05,38.62,6.68,23.73,46.76,8.61
1739901600,2025-02-18 18:00:00,2.0,627.52,0.0,18.85,47.92,5.84,19.6,42.3,7.09
1739905200,2025-02-18 19:00:00,2.0,500.68,0.0,13.37,56.51,4.65,15.46,40.36,4.69
1739908800,2025-02-18 20:00:00,2.0,407.22,0.0,10.02,63.66,3.87,14.93,43.28,2.63
